State,District,Area,Pincode,,,,
Tamilnadu,Cuddalore,A.Kuravankuppam ,607802,,,,
Tamilnadu,Cuddalore,Adari ,606304,,,,
Tamilnadu,Cuddalore,Adinarayananpuram ,608801,,,,
Tamilnadu,Cuddalore,Adur Agaram ,607302,,,,
Tamilnadu,Cuddalore,Agara Alambadi ,608702,,,,
Tamilnadu,Cuddalore,Agaram ,608502,,,,
Tamilnadu,Cuddalore,Akkadavalli ,607205,,,,
Tamilnadu,Cuddalore,Akkanur ,606106,,,,
Tamilnadu,Cuddalore,Akkarai Gori ,607003,,,,
Tamilnadu,Cuddalore,Alagaperumalkuppam ,607101,,,,
Tamilnadu,Cuddalore,Alaginatham ,607109,,,,
Tamilnadu,Cuddalore,Alambadi ,606108,,,,
Tamilnadu,Cuddalore,Alapakkam ,608801,,,,
Tamilnadu,Cuddalore,Alathur ,606303,,,,
Tamilnadu,Cuddalore,Alkondanatham ,608305,,,,
Tamilnadu,Cuddalore,Ambalavananpettai ,607301,,,,
Tamilnadu,Cuddalore,Ambapuram ,608704,,,,
Tamilnadu,Cuddalore,Ammapettai ,608401,,,,
Tamilnadu,Cuddalore,Ammeri ,607802,,,,
Tamilnadu,Cuddalore,Andarmullipallam ,608801,,,,
Tamilnadu,Cuddalore,Anguchettipalayam ,607110,,,,
Tamilnadu,Cuddalore,Annamalai University ,608002,,,,
Tamilnadu,Cuddalore,Annamalainagar ,608002,,,,
Tamilnadu,Cuddalore,Annavalli ,607003,,,,
Tamilnadu,Cuddalore,Anukkampattu ,607301,,,,
Tamilnadu,Cuddalore,Arangamangalam ,607302,,,,
Tamilnadu,Cuddalore,Arantangi ,608301,,,,
Tamilnadu,Cuddalore,Arasadikkuppam ,607103,,,,
Tamilnadu,Cuddalore,Ariyakoshti ,608502,,,,
Tamilnadu,Cuddalore,Athipatu ,608401,,,,
Tamilnadu,Cuddalore,Avatti ,606108,,,,
Tamilnadu,Cuddalore,Avinangudi ,606106,,,,
Tamilnadu,Cuddalore,Aviyanur ,607101,,,,
Tamilnadu,Cuddalore,Ayangudi ,608306,,,,
Tamilnadu,Cuddalore,Ayikuppam ,607301,,,,
Tamilnadu,Cuddalore,Ayyanur Akkaramangalam ,608201,,,,
Tamilnadu,Cuddalore,Azhisikudi ,608601,,,,
Tamilnadu,Cuddalore,B.Adivaraganallur ,608501,,,,
Tamilnadu,Cuddalore,B.Kolakudi ,608704,,,,
Tamilnadu,Cuddalore,B.Mutlur ,608501,,,,
Tamilnadu,Cuddalore,B.Odaiyur ,608601,,,,
Tamilnadu,Cuddalore,Badrakottai ,607102,,,,
Tamilnadu,Cuddalore,Bandarakottai ,607108,,,,
Tamilnadu,Cuddalore,Bharathi Road ,607001,,,,
Tamilnadu,Cuddalore,Bhuvanagiri ,608601,,,,
Tamilnadu,Cuddalore,"Block 1, Neyveli ",607801,,,,
